run_id,experiment_id,phase,architecture,energy_kwh,co2_kg,elapsed_seconds,value_precision
legacy-1290710edac627ff82c0,07_ldm_sdvae_extra1361,filtering,,5.294832762147743e-05,1.7510965014319773e-05,0.06881921199965291,measured
legacy-149430464d209b6d8107,07_ldm_sdvae_extra1361,generation,,0.32848424625401385,0.10863565295263496,7511.96662187,measured
legacy-1afe8228dc1918dc5c7e,07_ldm_sdvae_extra1361,filtering,,0.004692406257158657,0.0015518632125549967,105.83598253599848,measured
legacy-0c5df94395277973d02a,07_ldm_sdvae_extra1361,filtering,,0.002500030770574982,0.000826805176383017,54.076984586001345,measured
legacy-95d39e746f837a943524,07_ldm_sdvae_extra1361,generator_training,,1.0352974696207267,0.34239150855802747,24026.188333913,measured
legacy-1d80777859a4b3eaac2b,08_ldm_v3_sdvae_fromscratch,validation,,0.002082737890712576,0.0006887989097406818,166.9944717000035,measured
legacy-7c445c1923e17a0a4963,08_ldm_v3_sdvae_fromscratch,validation,,2.0218569523233006e-05,6.686644875584574e-06,0.14885755500000641,measured
legacy-af5ca50ed194b1bbb12a,08_ldm_v3_sdvae_fromscratch,validation,,4.1527023741089665e-05,1.3733734237605693e-05,0.8575514609999573,measured
legacy-30160198d89fb69f13c0,08_ldm_v3_sdvae_fromscratch,validation,,2.0300127054386674e-05,6.713617419172653e-06,0.16420626099989022,measured
legacy-f42818f01b18bc5c9426,08_ldm_v3_sdvae_fromscratch,validation,,4.1641650277959806e-05,1.3771643296626311e-05,0.9044732510001268,measured
legacy-48701a5bc74ae1b4fb2b,08_ldm_v3_sdvae_fromscratch,validation,,2.0222004824259187e-05,6.68778099146935e-06,0.14103839300014442,measured
legacy-07291db4e8047ea5cc9f,08_ldm_v3_sdvae_fromscratch,validation,,4.161580491201653e-05,1.3763095768892283e-05,0.869721878999826,measured
legacy-11f29423918223ff50c1,08_ldm_v3_sdvae_fromscratch,validation,,2.0238857746607453e-05,6.693354556242524e-06,0.15096246199982488,measured
legacy-4e35e2bf4aac6761ec70,08_ldm_v3_sdvae_fromscratch,validation,,4.151420613310756e-05,1.3729495223929066e-05,0.8538083729999926,measured
legacy-340963177dc43ef4c58c,08_ldm_v3_sdvae_fromscratch,validation,,2.0223852004543813e-05,6.688391887238721e-06,0.14842905800014705,measured
legacy-e112d3ff70b04e4cd6bf,08_ldm_v3_sdvae_fromscratch,validation,,4.160752691268234e-05,1.3760358085508479e-05,0.8620062029999644,measured
legacy-f4f676acb918d7c8d428,08_ldm_v3_sdvae_fromscratch,validation,,2.0217429601975213e-05,6.686267883106039e-06,0.05280537100043148,measured
legacy-cf0e0ccfb2fe59d7fa3a,08_ldm_v3_sdvae_fromscratch,validation,,0.008721371832821135,0.0028843146498069403,225.3886186210002,measured
legacy-1e12c0a3b1d270ab447b,08_ldm_v3_sdvae_fromscratch,validation,,9.919621916947063e-05,3.280597521128899e-05,1.9176021749990468,measured
legacy-e6db7b1d719722e0c5ce,08_ldm_v3_sdvae_fromscratch,validation,,6.650251922766734e-05,2.199358015393569e-05,0.6639255059999414,measured
legacy-3ae1ac1c4117f761fb89,08_ldm_v3_sdvae_fromscratch,validation,,7.420713520285406e-05,2.454163534001749e-05,1.432682784001372,measured
legacy-e3d5684e2fee6741b1ac,08_ldm_v3_sdvae_fromscratch,validation,,5.727301257616189e-05,1.894121617316311e-05,0.9233086489984998,measured
legacy-3d7da0c987e0e689685d,08_ldm_v3_sdvae_fromscratch,validation,,4.1504483139210335e-05,1.3726279654833364e-05,0.6058998750013416,measured
legacy-5b88485eaa9cca81f6e1,08_ldm_v3_sdvae_fromscratch,validation,,2.0230510767492477e-05,6.690594060003577e-06,0.15374210699974356,measured
legacy-38258e2c931a33df0f5e,08_ldm_v3_sdvae_fromscratch,validation,,4.15570011712583e-05,1.3743648313356205e-05,0.862988994999796,measured
legacy-bc54e5bbba78a72596cc,08_ldm_v3_sdvae_fromscratch,validation,,0.0009062554589918764,0.0002997149928868754,65.37569992300268,measured
legacy-f653f9443d36a0024996,08_ldm_v3_sdvae_fromscratch,validation,,0.0022730668508740017,0.0007517441227873482,182.28047043699996,measured
legacy-82c0951f63245dcc061c,08_ldm_v3_sdvae_fromscratch,validation,,4.1495643328533425e-05,1.3723356170325918e-05,0.7440363030000299,measured
legacy-14b874ccbd74a95c5cf6,08_ldm_v3_sdvae_fromscratch,validation,,4.164952294966335e-05,1.3774246930866765e-05,0.7217982290000009,measured
legacy-0c6fc7642581f32d8fc8,08_ldm_v3_sdvae_fromscratch,generation,,0.13304860376113992,0.04400156813867667,10393.954431156,measured
legacy-904b36f427207dc9dc0d,08_ldm_v3_sdvae_fromscratch,filtering,,2.0225482860105734e-05,6.688931240528448e-06,0.08617071499975282,measured
legacy-855e48390a9bfa5cc218,08_ldm_v3_sdvae_fromscratch,filtering,,0.0007997648933222734,0.00026449664598975563,57.96155996399966,measured
legacy-cacf72ae1704751005b0,08_ldm_v3_sdvae_fromscratch,filtering,,2.0226845474483226e-05,6.689381881630144e-06,0.1437040790001447,measured
legacy-82e219a78ff913795a1f,08_ldm_v3_sdvae_fromscratch,filtering,,0.0008390345280685252,0.0002774838210537665,60.16503786500016,measured
legacy-577a91c1baef5331af20,08_ldm_v3_sdvae_fromscratch,filtering,,0.00191341162027581,0.0006327996642343754,89.15374919199894,measured
