path,experiment_id,architecture,dataset_variant,stage,regime,generator,training_policy,seeds,dataset_status,checkpoint_legacy_available,training_required,validation_available,test_allowed,compile_status,dry_run_status,generator_ownership,note_blocker
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_FULL_02_sd21_filtered_100steps.ipynb,maxvit512__RSB_FULL_02_sd21_filtered_100steps,maxvit512,RSB_FULL_02_sd21_filtered_100steps,1,full_available,02_sd21_filtered_100steps,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_CONTROLLED_02_sd21_filtered_100steps.ipynb,maxvit512__RSP_CONTROLLED_02_sd21_filtered_100steps,maxvit512,RSP_CONTROLLED_02_sd21_filtered_100steps,1,controlled,02_sd21_filtered_100steps,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_CONTROLLED_03_sd21_vae_finetuned.ipynb,maxvit512__RSB_CONTROLLED_03_sd21_vae_finetuned,maxvit512,RSB_CONTROLLED_03_sd21_vae_finetuned,1,controlled,03_sd21_vae_finetuned,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_FULL_03_sd21_vae_finetuned.ipynb,maxvit512__RSB_FULL_03_sd21_vae_finetuned,maxvit512,RSB_FULL_03_sd21_vae_finetuned,1,full_available,03_sd21_vae_finetuned,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_CONTROLLED_03_sd21_vae_finetuned.ipynb,maxvit512__RSP_CONTROLLED_03_sd21_vae_finetuned,maxvit512,RSP_CONTROLLED_03_sd21_vae_finetuned,1,controlled,03_sd21_vae_finetuned,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_CONTROLLED_04_sd21_lora.ipynb,maxvit512__RSB_CONTROLLED_04_sd21_lora,maxvit512,RSB_CONTROLLED_04_sd21_lora,1,controlled,04_sd21_lora,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_FULL_04_sd21_lora.ipynb,maxvit512__RSB_FULL_04_sd21_lora,maxvit512,RSB_FULL_04_sd21_lora,1,full_available,04_sd21_lora,maxvit512_standard,"17,42,73",BLOCKED,False,True,False,False,PASS,BLOCKED,scripts/create_classifier_matrix_notebooks.py,"RuntimeError: dataset RSB_FULL_04_sd21_lora is blocked: runtime dataset resolution failed: variant RSB_FULL_04_sd21_lora: only 1361 synthetic files on disk for 04_sd21_lora/negative (metrics_declared_directory), need 2722"
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_CONTROLLED_04_sd21_lora.ipynb,maxvit512__RSP_CONTROLLED_04_sd21_lora,maxvit512,RSP_CONTROLLED_04_sd21_lora,1,controlled,04_sd21_lora,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_CONTROLLED_06_ldm_extra1361_fromscratch.ipynb,maxvit512__RSB_CONTROLLED_06_ldm_extra1361_fromscratch,maxvit512,RSB_CONTROLLED_06_ldm_extra1361_fromscratch,1,controlled,06_ldm_extra1361_fromscratch,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_FULL_06_ldm_extra1361_fromscratch.ipynb,maxvit512__RSB_FULL_06_ldm_extra1361_fromscratch,maxvit512,RSB_FULL_06_ldm_extra1361_fromscratch,1,full_available,06_ldm_extra1361_fromscratch,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
